,country_id,country_value,indicator_name,year,value,region,incomeLevel,longitude,latitude
0,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,7.53923324035891,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,7.57169749274654,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,7.67654773372157,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,7.86947018999245,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,8.40741154700022,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.97430164130982,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,7.45910636823544,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7.24484282680541,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,7.21491501896869,Aggregates,Aggregates,,
9,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,7.07442880999326,Aggregates,Aggregates,,
10,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,3.19297271435272,Aggregates,Aggregates,,
11,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,3.17491538811068,Aggregates,Aggregates,,
12,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,3.20335496340002,Aggregates,Aggregates,,
13,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,3.59653801462938,Aggregates,Aggregates,,
14,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,4.67076109003218,Aggregates,Aggregates,,
15,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.7993062016358,Aggregates,Aggregates,,
16,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.39390284484525,Aggregates,Aggregates,,
17,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.33609979249296,Aggregates,Aggregates,,
18,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,4.28464574730964,Aggregates,Aggregates,,
19,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,4.16910166908106,Aggregates,Aggregates,,
20,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,9.19017299614363,Aggregates,Aggregates,,
21,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,9.26592419265215,Aggregates,Aggregates,,
22,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,9.31338863204988,Aggregates,Aggregates,,
23,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,9.74413095599936,Aggregates,Aggregates,,
24,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,10.8627489086684,Aggregates,Aggregates,,
25,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,11.2951503646669,Aggregates,Aggregates,,
26,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,10.2137182910936,Aggregates,Aggregates,,
27,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,10.6546406452031,Aggregates,Aggregates,,
28,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,11.1152019032057,Aggregates,Aggregates,,
29,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,10.8617161429412,Aggregates,Aggregates,,
30,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,7.55485245853424,Aggregates,Aggregates,,
31,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,7.49180699898505,Aggregates,Aggregates,,
32,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,7.51281290895946,Aggregates,Aggregates,,
33,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,8.29867755889038,Aggregates,Aggregates,,
34,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,9.71327125079923,Aggregates,Aggregates,,
35,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,9.95181592662355,Aggregates,Aggregates,,
36,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,8.21142514691839,Aggregates,Aggregates,,
37,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.59708625490841,Aggregates,Aggregates,,
38,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,8.24674002522057,Aggregates,Aggregates,,
39,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,8.52897625860849,Aggregates,Aggregates,,
40,B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,4.14260588932297,Aggregates,Aggregates,,
41,B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,4.00056350955849,Aggregates,Aggregates,,
42,B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,4.01230416616797,Aggregates,Aggregates,,
43,B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,3.96540582731722,Aggregates,Aggregates,,
