,country_id,country_value,indicator_name,year,value,region,incomeLevel,longitude,latitude
57,V2,Early-demographic dividend,Individuals using the Internet (% of population),2018,,Aggregates,Aggregates,,
58,V2,Early-demographic dividend,Individuals using the Internet (% of population),2017,,Aggregates,Aggregates,,
59,V2,Early-demographic dividend,Individuals using the Internet (% of population),2016,,Aggregates,Aggregates,,
60,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2025,88.4,Aggregates,Aggregates,,
61,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2024,86.6,Aggregates,Aggregates,,
62,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2023,84.9,Aggregates,Aggregates,,
63,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2022,82.4,Aggregates,Aggregates,,
64,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2021,78.8,Aggregates,Aggregates,,
65,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2020,73.9,Aggregates,Aggregates,,
66,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2019,67.1,Aggregates,Aggregates,,
67,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2018,62.5,Aggregates,Aggregates,,
68,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2017,57.8,Aggregates,Aggregates,,
69,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2016,53.9,Aggregates,Aggregates,,
70,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2025,88.1,Aggregates,Aggregates,,
71,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2024,86.1,Aggregates,Aggregates,,
72,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2023,84.2,Aggregates,Aggregates,,
73,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2022,81.6,Aggregates,Aggregates,,
74,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2021,77.6,Aggregates,Aggregates,,
75,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2020,72.2,Aggregates,Aggregates,,
76,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2019,64.0,Aggregates,Aggregates,,
77,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2018,59.1,Aggregates,Aggregates,,
78,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2017,53.9,Aggregates,Aggregates,,
79,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2016,49.6,Aggregates,Aggregates,,
80,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2025,88.9,Aggregates,Aggregates,,
81,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2024,86.8,Aggregates,Aggregates,,
82,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2023,85.0,Aggregates,Aggregates,,
83,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2022,82.3,Aggregates,Aggregates,,
84,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2021,78.3,Aggregates,Aggregates,,
85,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2020,72.7,Aggregates,Aggregates,,
86,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2019,64.3,Aggregates,Aggregates,,
87,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2018,59.8,Aggregates,Aggregates,,
88,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2017,54.6,Aggregates,Aggregates,,
89,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2016,50.2,Aggregates,Aggregates,,
90,XC,Euro area,Individuals using the Internet (% of population),2025,,Aggregates,Aggregates,,
91,XC,Euro area,Individuals using the Internet (% of population),2024,,Aggregates,Aggregates,,
92,XC,Euro area,Individuals using the Internet (% of population),2023,,Aggregates,Aggregates,,
93,XC,Euro area,Individuals using the Internet (% of population),2022,,Aggregates,Aggregates,,
94,XC,Euro area,Individuals using the Internet (% of population),2021,,Aggregates,Aggregates,,
95,XC,Euro area,Individuals using the Internet (% of population),2020,,Aggregates,Aggregates,,
96,XC,Euro area,Individuals using the Internet (% of population),2019,,Aggregates,Aggregates,,
